Thread 99: Line 29143: Galatians 4:8	But then, certainly, while ignorant of God, you served those who, by nature, are not gods.
Thread 55: Line 16184: Psalm 135:5	For I have known that the Lord is great, and our God is before all gods.
Thread 55: Line 16202: Psalm 136:2	Confess to the God of gods, for his mercy is eternal.
Thread 100: Line 29444: Philippians 3:19	Their end is destruction; their god is their belly; and their glory is in their shame: for they are immersed in earthly things.
Thread 93: Line 27363: Acts 12:22	Then the people were crying out, “The voice of a god, and not of a man!”
Thread 93: Line 27429: Acts 14:11	But when the crowds had seen what Paul had done, they lifted up their voice in the Lycaonian language, saying, “The gods, having taken the likenesses of men, have descended to us!”
Thread 18: Line 5064: Deuteronomy 5:7	You shall not have strange gods in my sight.
Thread 18: Line 5104: Deuteronomy 6:14	You shall not go after the strange gods of all the Gentiles, who are around you.
Thread 18: Line 5119: Deuteronomy 7:4	For she will seduce your son, so that he will not follow me, and so that he will instead serve foreign gods. And the fury of the Lord will be enraged, and he will quickly destroy you.
Thread 18: Line 5131: Deuteronomy 7:16	You shall devour all the peoples, which the Lord your God will deliver to you. Your eye shall not spare them, neither shall you serve their gods, lest they be your ruin.
Thread 18: Line 5160: Deuteronomy 8:19	But if you forget the Lord your God, so that you follow foreign gods, and serve and adore them: behold, I now foretell to you that you shall utterly perish.
Thread 18: Line 5197: Deuteronomy 10:7	From there, they went into Gudgodah. From that place, they set out and camped at Jotbathah, in a land of waters and torrents.
Thread 18: Line 5207: Deuteronomy 10:17	For the Lord your God himself is the God of gods, and the Lord of lords, a God great and powerful and terrible, who favors no person and accepts no bribe.
Thread 18: Line 5228: Deuteronomy 11:16	Be careful, lest perhaps your heart may be deceived, and you might withdraw from the Lord, and serve strange gods, and adore them.
Thread 18: Line 5240: Deuteronomy 11:28	It will be a curse, if you do not obey the commandments of the Lord your God, but instead you withdraw from the way, which I am revealing to you now, and you walk after foreign gods that you have not known.
Thread 18: Line 5246: Deuteronomy 12:2	Overturn all the places where the nations, which you will possess, worshipped their gods on lofty mountains, and on hills, and under every leafy tree.
Thread 18: Line 5274: Deuteronomy 12:30	be careful that you do not imitate them, after they have been overturned at your arrival, and that you do not seek their ceremonies, saying: ‘Just as these nations have worshipped their gods, so also will I worship.’
Thread 18: Line 5275: Deuteronomy 12:31	You shall not act in like manner toward the Lord your God. For they have done to their gods all the abominations that the Lord spurns, offering their sons and daughters, and burning them with fire.
Thread 18: Line 5278: Deuteronomy 13:2	and if what he has spoken happens, and he says to you, ‘Let us go and follow strange gods,’ which you have not known, ‘and let us serve them,’
Thread 18: Line 5282: Deuteronomy 13:6	If your brother, the son of your mother, or your own son or daughter, or your wife who is in your bosom, or your friend, whom you love like your own soul, were willing to persuade you secretly, saying: ‘Let us go, and serve foreign gods,’ which neither you nor your fathers have known,
Thread 18: Line 5283: Deuteronomy 13:7	gods from any of the surrounding nations, whether these are near or far away, from the beginning even to the end of the earth,
Thread 18: Line 5289: Deuteronomy 13:13	‘The sons of Belial have departed from your midst, and they have persuaded the inhabitants of their city, and they have said: “Let us go, and serve strange gods,” ’ which you have not known:
Thread 22: Line 6471: Joshua 23:7	Otherwise, after you have entered to the Gentiles, who will be among you in the future, you might swear by the name of their gods, and serve them, and adore them.
Thread 22: Line 6480: Joshua 23:16	when you will have transgressed the covenant of the Lord your God, which he has formed with you, and will have served strange gods, and will have adored them. And then the fury of the Lord will rise up quickly and speedily against you, and you will be taken away from this excellent land, which he has delivered to you.”
Thread 22: Line 6482: Joshua 24:2	And he spoke to the people in this way: “Thus says the Lord, the God of Israel: ‘Your fathers lived, in the beginning, across the river: Terah, the father of Abraham, and Nahor. And they served strange gods.
Thread 22: Line 6494: Joshua 24:14	Now therefore, fear the Lord, and serve him with a perfect and very sincere heart. And take away the gods that your fathers served in Mesopotamia and in Egypt, and serve the Lord.
Thread 22: Line 6495: Joshua 24:15	But if it seems evil to you that you would serve the Lord, a choice is given to you. Choose today what pleases you, and whom you ought to serve above all else, either the gods that your fathers served in Mesopotamia, or the gods of the Amorites, in whose land you live: but as for me and my house, we will serve the Lord.”
Thread 22: Line 6496: Joshua 24:16	And the people responded, and they said: “Far be it from us that we would forsake the Lord, and serve foreign gods.
Thread 22: Line 6500: Joshua 24:20	If you leave behind the Lord, and you serve foreign gods, he will turn himself, and he will afflict you, and he will overthrow you, after all the good that he has offered to you.”
Thread 22: Line 6503: Joshua 24:23	“Now therefore,” he said, “take away strange gods from among yourselves, and incline your hearts to the Lord, the God of Israel.”
Thread 38: Line 11220: 2 Chronicles 2:5	For the house that I desire to build is great. For our God is great, above all gods.
Thread 94: Line 27615: Acts 19:26	And you are seeing and hearing that this man Paul, by persuasion, has turned away a great multitude, not only from Ephesus, but from nearly all of Asia, saying, ‘These things are not gods which have been made by hands.’
Thread 94: Line 27626: Acts 19:37	For you have brought forward these men, who are neither sacrilegious nor blasphemers against your goddess.
Thread 67: Line 19764: Jeremiah 32:29	And the Chaldeans fighting against this city will advance, and set fire to it, and burn it, along with the houses on whose roofs they were offering sacrifice to Baal and were pouring out libations to strange gods, so that they provoked me to wrath.
Thread 67: Line 19842: Jeremiah 35:15	And I have sent to you all my servants, the prophets, rising at first light, and sending, and saying: ‘Convert, each one from his wicked way, and make your intentions good. And do not choose to follow strange gods, nor shall you worship them. And then you shall live in the land which I gave to you and to your fathers.’ And yet you have not inclined your ear, and you have not heeded me.
Thread 79: Line 23118: Malachi 2:11	Judah has transgressed, and abomination has been committed in Israel and in Jerusalem. For Judah has contaminated the sanctified of the Lord, which he loved, and has held the daughter of a strange god.
Thread 27: Line 7928: 1 Samuel 26:19	Now therefore, listen, I beg you, my lord the king, to the words of your servant. If the Lord has stirred you up against me, let him make the sacrifice fragrant. But if the sons of men have done so, they are accursed in the sight of the Lord, who has cast me out this day, so that I would not live within the inheritance of the Lord, saying, ‘Go, serve strange gods.’
Thread 27: Line 7959: 1 Samuel 28:13	And the king said to her: “Do not be afraid. What have you seen?” And the woman said to Saul, “I saw gods ascending from the earth.”
Thread 24: Line 6857: Judges 11:24	Are not the things that your god Chemosh possesses owed to you by right? And so, what the Lord our God has obtained by victory falls to us as a possession.
Thread 24: Line 6976: Judges 16:23	And the leaders of the Philistines convened as one, so that they might offer great sacrifices to Dagon, their god. And they feasted, saying, “Our god has delivered our enemy, Samson, into our hands.”
Thread 24: Line 6977: Judges 16:24	Then, too, the people, seeing this, praised their god, and they said the same, “Our god has delivered our adversary into our hands: the one who destroyed our land and who killed very many.”
Thread 24: Line 6989: Judges 17:5	And he also separated in it a little shrine for the god. And he made an ephod and theraphim, that is, a priestly garment and idols. And he filled the hand of one of his sons, and he became his priest.
Thread 24: Line 7021: Judges 18:24	And he responded: “You have taken away my gods, which I made for myself, and the priest, and all that I have. And do you say, ‘What is it that you want?’ ”
Thread 65: Line 18980: Jeremiah 2:11	See if a nation has ever changed their gods, though certainly those are not gods. Yet truly, my people have exchanged their glory for an idol.
Thread 76: Line 22289: Hosea 14:3	Assur will not save us; we will not ride on horses. Neither will we say any more, ‘The works of our hands are our gods,’ for those that are in you will have mercy on the orphan.”
Thread 76: Line 22453: Amos 5:26	And you carried a tabernacle for your Moloch and the image of your idols: the star of your god, which you made for yourselves.
Thread 75: Line 22048: Daniel 11:8	And, in addition, he will carry away captive into Egypt their gods, and their graven images, and likewise their precious vessels of gold and silver. He will prevail against the king of the North.
Thread 75: Line 22076: Daniel 11:36	And the king will act according to his will, and he will be lifted up and will be extolled against every god. And he will speak great things against the God of gods, and he will control, until the passion is completed. Once accomplished, the limit is reached with certainty.
Thread 75: Line 22077: Daniel 11:37	And he will give no thought to the God of his fathers, and he will be in the desire of women, and he will not attend to any gods, because he will rise up against all things.
Thread 75: Line 22078: Daniel 11:38	But he will do homage to the god Maozim in his place, and, a god whom his fathers did not know, he will worship with gold, and silver, and precious stones, and costly things.
Thread 75: Line 22079: Daniel 11:39	And he will act to reinforce Maozim with an alien god, of whom he has become aware, and he will increase their glory, and will give them power over many, and he will distribute land for free.
